,service_type,p-value,direction
2994,Crimes Against Seniors and Vulnerable Adults,0.6883163719583699,-0.08571428571428569
2995,Ride On Text Alerts,0.6883163719583699,-0.08571428571428569
2996,Address Numbers on Curbs,0.6883163719583699,-0.08571428571428569
2997,Retiree - Death of a County Retiree or Retiree's Dependent,0.689049853382752,-2.542857142857141
2998,AccessMCG (OHR Retiree Health Insurance) - Change Email Address (Login ID),0.6906158842369483,0.17142857142857149
2999,"Ride On Holiday Schedule: Thanksgiving, Christmas, New Year's, Memorial Day and Labor Day",0.6909685846668824,-1.9285714285714288
3000,Physician Complaints,0.691029677727394,0.3285714285714285
3001,Contact the DOT Highway Inspector,0.6911115069991037,0.17142857142857149
3002,Renewable Energy Devices Property Tax Credit,0.6911115069991038,-0.17142857142857137
3003,First Month's Rent or Security Deposit - Rockville,0.6922317330323009,2.371428571428572
3004,Maryland Legal Aid,0.6924929152840094,0.8285714285714256
3005,Stopping Construction of a Larger House,0.6973220319804686,0.08571428571428572
3006,Boiler Inspections for Apartment Buildings,0.6973220319804687,0.08571428571428572
3007,Notary Commission,0.6979013322642185,-0.2714285714285716
3008,Annual Tax Bill Mailing,0.6998286239551281,-7.214285714285715
3009,Birthright International,0.6998529000701004,-0.12857142857142856
3010,Registering for MPDU Classes Without a Computer,0.6998529000701005,0.12857142857142856
3011,Residential Street Sweeping Schedule,0.700031355546114,-0.1428571428571429
3012,Recruitment and Training Coordinator Contact Information,0.700106041679261,-0.12857142857142856
3013,Yellow Bin Delivery/Pick-up,0.700866778680356,0.5
3014,Town of Brookeville,0.701798299197821,0.11428571428571432
3015,Definition of Special Area Taxes,0.7031628039544338,0.12857142857142856
3016,Mediation Through the Office of Consumer Protection,0.7061088469301484,0.15714285714285714
3017,Beneficiary Change (Current or Former Employee),0.7135202881204297,-0.6714285714285708
3018,Dead Tree or Branches on Private Property,0.7145348530020585,-1.485714285714284
3019,Call-n-Ride Recertification,0.7155779376146758,-0.12857142857142856
3020,Tall Grass on Private Property Where the Property is Vacant or an Unimproved Lot,0.7158051608146417,-4.071428571428573
3021,Rezoning or Special Exception,0.7180525927464652,-0.11428571428571432
3022,Retiree - Retirement Plan Federal or State Tax Deductions Incorrect,0.7190011532332039,0.18571428571428572
3023,Mosquito Spraying,0.7194546899856141,-0.08571428571428569
3024,Customer Complaints for the County Executive,0.7194850909273104,2.2714285714285722
3025,Residents Planting Trees in Right-of-Way,0.7207009858116652,-0.15714285714285714
3026,Zoning and Administrative Hearings Case Files,0.7212873423981476,-0.08571428571428569
3027,Late Rent Penalty,0.7230787222666153,-0.15714285714285714
3028,"Renewal License Fee Invoice, Payments and Due Date for Rental Facilities",0.7237675345306012,3.914285714285718
3029,Contacting the Land Development Reviewer of the Day,0.7239539104449129,-1.8285714285714256
3030,Process to Record a Deed in Montgomery County,0.7239869520393247,0.37142857142857144
3031,Flooding in Basement,0.724378426596793,0.18571428571428572
3032,Mailing Addresss and Hours for Montgomery County Fire and Rescue Services,0.7252356785434453,0.09999999999999998
3033,RSP or GRIP Disability Payee - Requesting Copy of Pay Advice,0.7261780522025183,-0.09999999999999998
3034,1099-M Problems,0.7262835413124882,0.5285714285714285
3035,Obtaining the Value of a MPDU While Still Under the Control Period,0.7283251655280194,0.08571428571428572
3036,County Employees Approved for Secondary Employment Outside the County,0.7283251655280194,0.08571428571428572
3037,Town of Washington Grove,0.7283251655280196,0.08571428571428572
3038,Council Sessions Televised,0.7283251655280196,0.08571428571428572
3039,Leaf Vacuum Collection Damage,0.7292274932688633,0.3999999999999999
3040,Employee - Life Insurance Amount,0.7293064414922319,-0.48571428571428577
3041,Day of Burn Notification,0.7296537589990499,-0.15714285714285725
3042,Family Center of Catholic Charities,0.7313619561485494,-0.7142857142857135
3043,Requirements to Register with the Central Vendor Registration System (CVRS),0.7330674941059502,0.05714285714285716
3044,Taxi Driver Registering A Mobile Credit Card Processor,0.7330674941059502,0.05714285714285716
3045,GRIP or RSP Retirement Election form submission for PART-TIME employees,0.7330674941059502,0.05714285714285716
3046,Reassign Tree Hanger to Depot,0.7330674941059502,0.05714285714285716
3047,M-NCPPC Montgomery Parks Events,0.7330674941059502,0.05714285714285716
3048,Money in Wrong Parking Meter and Received Ticket,0.7330674941059502,0.05714285714285716
3049,Keeping Seniors Safe Program - Montgomery County Police,0.7330674941059502,0.05714285714285716
3050,Group Home Rehabilitation Loan Program,0.7330674941059502,0.05714285714285716
3051,Asian American Health Initiative (AAHI) Community Outreach and Health Education,0.7330674941059502,0.05714285714285716
3052,"WMATA Service Changes Effective June 25, 2017",0.7330674941059502,0.05714285714285716
3053,AccessAccessMCG (MCERP) Paper Pay Advice,0.7330674941059502,0.05714285714285716
3054,Sediment in the Stream,0.7330674941059502,0.05714285714285716
3055,Green Tape Permit Information,0.7330674941059502,0.05714285714285716
3056,Support Group,0.7330674941059502,0.05714285714285716
3057,Historic and Cultural Sites,0.7330674941059502,0.05714285714285716
3058,General Wage Adjustment Fiscal Year 2020,0.7330674941059502,0.05714285714285716
3059,In Home Mental Health Services for Seniors,0.7330674941059502,0.05714285714285716
3060,Ride On System Map,0.7330674941059502,0.05714285714285716
3061,Application Review for the Department of Housing and Community Affairs (DHCA) Single Family Loan Program.,0.7330674941059502,-0.11428571428571432
3062,Sheriff's Office Complaint,0.7330674941059502,0.05714285714285716
3063,Chemical Spills,0.7330674941059502,0.05714285714285716
3064,Health and Human Services (HHS) Employee Information Line,0.7330674941059502,0.05714285714285716
3065,Major County Road Definition,0.7330674941059502,0.05714285714285716
3066,Application Period for CUPF Reservations,0.7330674941059502,0.05714285714285716
3067,Maryland Relay,0.7330674941059502,0.05714285714285716
3068,Employment Assistance,0.73486127664479,-0.15714285714285725
3069,Avery Road Combined Care,0.7352293760389725,0.11428571428571432
3070,Tax Payment Receipt Requests,0.7383972042874298,0.22857142857142865
3071,Licensee Requesting Out of Stock Assistance,0.7399508776528829,-0.18571428571428572
3072,County Facility or Property Tree Needs Pruning,0.740293165915304,0.24285714285714288
3073,Fingerprinting,0.7408589768624027,0.3285714285714283
3074,Tree Limb Hanging or Broken,0.7414466688587472,3.7571428571428527
3075,M-NCPPC Parks Phone Number,0.7417693297821828,-0.2714285714285718
3076,Educational Opportunities for Children and Head Start,0.742000091094137,-0.09999999999999998
3077,Tracking a Placed Order,0.7435616571389674,-0.08571428571428569
3078,"Environmentally Friendly Gardening and Landscaping, Local Plants, Native Plants",0.7435616571389674,0.08571428571428574
3079,Special Order Department - Beer,0.7435616571389674,-0.08571428571428569
3080,Retiree (ERS) - Requesting Copy of Pay Advice,0.7436789874787633,-0.18571428571428572
3081,Intersection Cameras,0.7449980043110187,-0.2857142857142856
3082,Alert Montgomery - How to Stop Receiving Alerts in Spanish,0.7461660555430334,0.27142857142857135
3083,Impact of County Closure on DPS Inspections,0.7463412272936351,0.11428571428571432
3084,M-NCPPC Montgomery Parks Trails,0.7468601265891599,0.12857142857142856
3085,Councilmember Contact Information,0.7473436379125031,-0.8000000000000007
3086,Home Business Operations License,0.7476873128420074,-0.4571428571428564
3087,Complaint for Persistent Problem Not Corrected by Cable Provider,0.7489101955464309,0.08571428571428572
3088,Employee - Questions Regarding Group Insurance While on Leave of Absence,0.7520606669674301,0.19999999999999996
3089,Police Follow-up,0.75466652713235,0.4142857142857128
3090,Ride On Special Limited Schedule On Christmas Eve,0.7552887978665894,-0.5714285714285714
3091,Personal Property Tax Questions,0.7556905413429708,1.542857142857141
3092,Status of Child Care Subsidy Programs Application: State Child Care or Working Parents Assistance,0.7557570319395188,-0.12857142857142856
3093,Alcohol Beverage Services Warehouse and Main Office Hours of Operation,0.7562920119756343,0.11428571428571432
3094,Customer Calling for Assistance in Navigating MC311 Portal,0.7564604070040424,0.12857142857142856
3095,Maryland Medicaid or Medical Assistance,0.7570351542167693,-0.30000000000000004
3096,Registering or Updating Company's Data in Central Vendor Registration System,0.7574101054287338,0.09999999999999998
3097,Massage Establishment and Massage Waiver Requirements,0.7574101054287338,0.09999999999999998
3098,Eviction Process,0.7579157519470041,-0.5857142857142872
3099,Licensee or Supplier Question on Product Pricing,0.7591585337740558,-0.2142857142857142
3100,Employee - Group Insurance 2020 Final Confirmation Statement Error,0.7608001269801246,0.7285714285714282
3101,Access to County Electronic Documents on Website,0.7614546228746675,-0.042857142857142844
3102,Internal Purchase of County or State Flag,0.7614546228746675,-0.042857142857142844
3103,Location and Adding a Bikeshare Station,0.7614546228746675,-0.042857142857142844
3104,Supportive Housing/Shelter Program,0.7614546228746675,-0.042857142857142844
3105,Requirements for Sale of Produce in Montgomery County,0.7614546228746675,-0.042857142857142844
3106,Brownfield's Property Tax Credit Stipulations,0.7614546228746675,-0.042857142857142844
3107,Property Tax Credits Calculation,0.7614546228746675,-0.042857142857142844
3108,School Recycling Questions,0.7614546228746675,-0.042857142857142844
3109,Court Award for Past Due Rent Once a Failure to Pay Rent Action is Filed,0.7614546228746675,-0.042857142857142844
3110,Display a Parking Permit,0.7614546228746675,-0.042857142857142844
3111,Scion Dental Services Incorporated,0.7614546228746675,-0.042857142857142844
3112,Apply for a Deputy Position with Montgomery County Sheriff's Office,0.7614546228746675,-0.042857142857142844
3113,Alcohol License Timeframe,0.7614546228746675,-0.042857142857142844
3114,UltraMontgomery,0.7614546228746675,-0.042857142857142844
3115,Employee - Required Forms and Documentation During Open Enrollment,0.7614546228746675,-0.08571428571428569
3116,Shared Profit During Sale of Moderately Priced Dwelling Unit (MPDU) Once the Control Period has Expired/ended,0.7614546228746675,-0.042857142857142844
3117,High School Auditorium Requests,0.7614546228746675,-0.042857142857142844
3118,Renewable Energy (Energy Conservation Devices) - Property Tax Credit Conditions,0.7614546228746675,-0.042857142857142844
3119,Free Housing Counseling Services,0.7614546228746675,-0.042857142857142844
3120,Retiree - Child With Disability Health Insurance Coverage,0.7614546228746675,-0.042857142857142844
3121,Telephone Tax Return Form,0.7614546228746675,-0.042857142857142844
3122,Metro 7 Day Short Trip Pass,0.7614546228746675,-0.042857142857142844
3123,Quick Home Energy Check Up,0.7614546228746675,-0.042857142857142844
3124,Respect the Space and Disability Parking Signs,0.7614546228746675,-0.042857142857142844
3125,Supplier - Inquiring about Purchase Order,0.7614546228746675,-0.042857142857142844
3126,Recreation Sports Offered to Youth or Teens,0.7614546228746675,-0.042857142857142844
3127,Alcohol Awareness Class Providers,0.7614546228746675,-0.042857142857142844
3128,"Explanation of Cable Fees, Taxes and Surcharges",0.7614546228746675,-0.042857142857142844
3129,Military Leave Defined,0.7614546228746675,-0.042857142857142844
3130,County Vehicle Accident,0.7614546228746675,-0.042857142857142844
3131,Housing Opportunities Commission (HOC) Academy,0.7614546228746675,-0.042857142857142844
3132,Correctional Officer Complaint,0.7614546228746675,-0.042857142857142844
3133,Recreation Sports Offered to Adults,0.7614546228746675,-0.042857142857142844
3134,"Renewal Common Ownership Community (COC) Registration Fee, Invoice, Payments and Due Dates",0.7614546228746675,-0.042857142857142844
3135,Bullying,0.7614546228746675,-0.042857142857142844
3136,Penalties for Non-Compliance With Sign Regulations,0.7614546228746675,-0.042857142857142844
3137,Contact Agencies Obtain Vendor Information,0.7614546228746675,-0.042857142857142844
3138,U.S. Savings Bonds Information,0.7614546228746675,-0.042857142857142844
3139,Permitting Process for a Maryland National Capital Park and Planning Commission Field,0.7614546228746675,-0.042857142857142844
3140,Babies Born Healthy,0.7614546228746675,-0.042857142857142844
3141,Submitting and Updating Pre-Approval Letter,0.7614546228746675,-0.042857142857142844
3142,Access MCG - Information Security,0.7614546228746675,-0.042857142857142844
3143,Enforcement of Maryland National Capital Park and Planning (M-NCPPC) Site Plans,0.7614546228746675,-0.042857142857142844
3144,Circuit Court Transcripts,0.7614546228746675,-0.042857142857142844
3145,School Based Health Wellness Centers,0.7614546228746675,-0.042857142857142844
3146,Persons Required on Premises for Residential Construction Inspection,0.7614546228746675,-0.042857142857142844
3147,Property Tax Credit Fire Sprinkler Systems,0.7614546228746675,-0.042857142857142844
3148,Retiree - OHR Health Insurance Team Staff Compliment,0.7614546228746675,-0.042857142857142844
3149,Montgomery County Recreation Aquatic Facility Rental,0.7621215007590822,0.12857142857142856
3150,State of Maryland Fire Marshal's Office,0.7626795025898578,-0.371428571428571
3151,Obtain a Commercial Use and Occupancy Certificate,0.7629668388619617,0.6999999999999993
3152,Sober Housing (age 18 or older),0.7688574905049734,0.07142857142857145
3153,Residential Projects Requiring a Use and Occupancy (U&O) Certificate,0.7699544874449715,0.17142857142857149
3154,Frederick County Maryland,0.7711250294507992,0.35714285714285676
3155,Description of Master Electrician License Types,0.7727398700343102,0.05714285714285716
3156,Thrift Store Clothing,0.7727398700343102,0.05714285714285716
3157,Time Required for Decision on Water/Sewer Category Change Request,0.7727398700343102,0.05714285714285716
3158,Green Scum on Water Surface of Lakes or Ponds,0.7727398700343102,0.05714285714285716
3159,Adding a Family Member to the Deed of  MPDU After the Expiration of the MPDU's Control Period.,0.7727398700343102,0.05714285714285716
3160,Request Road Closure or Event,0.7753268889191919,0.48571428571428577
3161,ECOWISE Program,0.7754432554812349,0.11428571428571432
3162,Application Process for Residential Solar Permits,0.7754432554812349,0.11428571428571432
3163,Licensee Requesting List of Items on Truck Scheduled for Delivery Next Business Day,0.7761362026286072,0.1428571428571428
3164,Retiree - Paying Group Insurance Premiums Through Direct Bill,0.7788184581537156,-0.1428571428571428
3165,Energy Conservation Devices Property Tax Credit Requirements,0.7806841816287333,-0.05714285714285716
3166,Obtaining a Protective Order at the Family Justice Center,0.7808200616701019,-0.2142857142857144
3167,MC311 Complaint (Internal),0.784884614187132,-0.7285714285714295
3168,Acceptable and Prohibited Use of Zoned Land,0.7854087132210096,-0.3142857142857145
3169,Alert Montgomery - Signing up for Alert Montgomery,0.7854704565970638,-0.2857142857142856
3170,Adoption and Foster Care Inspections by the Department of Housing and Community Affairs,0.7861345269779818,-0.18571428571428572
3171,Defective Keg Return,0.7873257021763055,-0.09999999999999998
3172,Computer Access to Register for the Office of Procurement Central Vendor System,0.7876066161107499,-0.0714285714285714
3173,"Fence, Shed, Retaining Wall, Falling Down/ in Disrepair",0.7890207639518713,0.07142857142857145
3174,Place Alcohol Order - Retail,0.7890207639518713,0.07142857142857145
3175,Design For Life Montgomery,0.7907678828772123,0.11428571428571432
3176,Carbon Monoxide Detectors,0.7939928248824317,0.17142857142857149
3177,Eviction or Foreclosure Assistance - Germantown,0.7941830112864402,-0.9142857142857128
3178,Appealing Removal of the County Property Tax Credit (ITOC),0.7962618556715803,-1.0857142857142872
3179,Assistance with Utility Disconnection Rockville Office,0.7968303452995882,-1.9142857142857146
3180,Former Montgomery County Government Employee Change of Address Process,0.799488127259718,0.08571428571428574
3181,Radio Communications,0.8010961411146387,0.05714285714285716
3182,Register to Speak at a Public Hearing,0.8010961411146387,0.05714285714285716
3183,Telephone Tax,0.8010961411146387,0.05714285714285716
3184,Hot Weather Assistance Fan Program,0.8010961411146387,0.05714285714285716
3185,Adding or Removing a Person from iStore account,0.8010961411146387,0.05714285714285716
3186,Horses on Property,0.801491758858727,-0.08571428571428574
3187,Notice of Hearing - Zoning and Administrative Hearings,0.801491758858727,-0.08571428571428574
3188,Request to Discuss Property Tax Bill,0.801622666178206,9.199999999999989
3189,Housing Opportunities Commission (HOC) Scattered Site Maintenance Phone Number,0.8020388125175518,-0.08571428571428574
3190,Adoption Foster Care Payment,0.8025005130208129,0.07142857142857145
3191,A Wider Circle Non-Profit Organization,0.8028707698124319,0.2571428571428571
3192,Ride On Grocery or Nutrition Shopping Transportation Bus for Seniors,0.8032160624913857,0.07142857142857145
3193,"Permit Status for Agricultural Producer, Benefit Performance and Door To Door Vendor",0.8044424079507806,-0.05714285714285716
3194,Robbery,0.8044424079507806,-0.05714285714285716
3195,Found Property,0.8044424079507806,-0.05714285714285716
3196,Employee - Form 1095-B - Kaiser Insured Only,0.8044424079507806,-0.05714285714285716
3197,Retiree -  Payroll Pay Advice Deduction Codes,0.8044424079507806,-0.05714285714285716
3198,Requesting an Application for the Single Family Rehabilitation Loan Program,0.8044424079507806,-0.05714285714285716
3199,Extension for Right of Way Permit,0.8044424079507806,-0.05714285714285716
3200,Recreation Customer Number & PIN Number,0.8044424079507806,-0.05714285714285716
3201,Change Mailing Address or Reissue Earned Income Credit or Earned Income Tax Credit Refund Check,0.8069332220761616,0.38571428571428523
3202,Journeyman Electrician's License Application Process,0.8069962378820498,-0.5142857142857142
3203,Time Estimate for Special Orders,0.8073474651116872,-0.19999999999999996
3204,Report a Suspected Rabid Animal,0.8075684431600701,0.371428571428571
3205,Tree Maintenance Staff Complaints,0.8078040501274864,-0.17142857142857137
3206,Application or Renewal of a New Home Builder's License,0.8081992131601332,0.08571428571428574
3207,"Montgomery County Restaurant ""Recipes for Success"" Program",0.8081992131601333,-0.042857142857142844
3208,Rental Account Balance or Receipt for Payment on CUPF Account,0.8081992131601333,-0.042857142857142844
3209,Current Director of the Office of Human Resources,0.8081992131601333,-0.042857142857142844
3210,Scheduled for Interview for County Positions,0.8081992131601333,-0.042857142857142844
3211,Repeat Caller,0.8081992131601333,-0.042857142857142844
3212,County Policy on Sandbags,0.8081992131601333,-0.042857142857142844
3213,Wage Requirements Law,0.8081992131601334,-0.042857142857142844
3214,Consumer Related Topics,0.8081992131601334,-0.042857142857142844
3215,Non-Represented Sick Leave Donation Program,0.8081992131601334,-0.042857142857142844
3216,"Women, Infants and Children's Program or WIC",0.8103735719616032,-0.15714285714285703
3217,Fairfax County Information,0.8174197815209944,0.12857142857142856
3218,Dangerous Animal,0.8181379664964857,-0.3285714285714292
3219,Filing an Appeal File with the Merit System Protection Board,0.8188672552418094,0.02857142857142858
3220,Employment with Board of Elections (BOE),0.8188672552418094,0.05714285714285716
3221,Suncab Taxi is Out of Business,0.8188672552418094,0.02857142857142858
3222,Carpool Permit Cost,0.8188672552418094,0.02857142857142858
3223,Retiree - Silverscript Double Deduction Error,0.8188672552418094,0.02857142857142858
3224,Licensee or Supplier Inquiring About Email or Text Message Alerts,0.8188672552418094,0.02857142857142858
3225,For Hire Transportation,0.8188672552418094,0.02857142857142858
3226,Updates or Changes to  Training Transcript,0.8188672552418094,0.02857142857142858
3227,Residential Street Sweeper Speeding,0.8188672552418094,0.02857142857142858
3228,Children Seeking Refuge Program State of Maryland Resources,0.8188672552418094,0.02857142857142858
3229,Registering for Senior Outdoor Adventures in Recreation (SOAR) Trips,0.8188672552418094,0.02857142857142858
3230,Hours Alcohol May be Served,0.8188672552418094,0.02857142857142858
3231,Housing Counseling & Location Program,0.8188672552418094,0.02857142857142858
3232,BlackRock Center for the Arts,0.8188672552418094,0.02857142857142858
3233,Voting Eligibilty for Prospective Voter that Moved More than 21 Days Prior to Election,0.8188672552418094,0.02857142857142858
3234,Recreation Centers Not Open on Time,0.8188672552418094,0.02857142857142858
3235,Listing of County Owned Space or Facilities,0.8188672552418094,0.02857142857142858
3236,"Report Water Pollution in Storm Drains, Streams, Rivers, or Other Water Bodies",0.8188672552418094,0.02857142857142858
3237,Animal Trapped in Storm Drain,0.8188672552418094,0.02857142857142858
3238,Ride On Temporary Bus Stop Location Changes around Silver Spring Transit Center,0.8188672552418094,0.05714285714285716
3239,Department of Permitting Services Staff Compliment,0.8188672552418094,0.02857142857142858
3240,Length and Number of Questions on Financial Disclosure Statement,0.8188672552418094,0.02857142857142858
3241,Children Sharing Same Room or Same Bed,0.8188672552418094,0.02857142857142858
3242,Verifying Emailed Orders,0.8188672552418094,0.02857142857142858
3243,"Training Workshops for Landscapers, Nurseries, Businesses Related to Rainscapes",0.8188672552418094,0.02857142857142858
3244,Montgomery County Department of Health and Human Services On Line Payment System,0.8188672552418094,0.02857142857142858
3245,Licensing and Registration Invoices Available Online,0.8188672552418094,0.02857142857142858
3246,Public Safety Committee Members,0.8188672552418094,0.02857142857142858
3247,Bethesda/Chevy Chase Citizens Advisory Board,0.8188672552418094,0.02857142857142858
3248,Graffiti or Trash on the Georgia Ave Pedestrian Bridge,0.8188672552418094,0.02857142857142858
3249,Recreation Federal Tax Identification number,0.8188672552418094,0.02857142857142858
3250,Law Enforcement Apprentice Program  L.E.A.P,0.8188672552418094,0.02857142857142858
3251,Problem or Incident at School,0.8188672552418094,0.02857142857142858
3252,M-NCPPC Cultural and Historic Park Attractions,0.8188672552418094,0.02857142857142858
3253,Street Outreach Network (SON) Youth Violence Prevention Mission,0.8188672552418094,0.02857142857142858
3254,Attorney for Alcohol Hearing,0.8188672552418094,0.02857142857142858
3255,Class A Alcohol Beverage License,0.8188672552418094,0.02857142857142858
3256,Number of Registered Voters  Montgomery County,0.8188672552418094,0.02857142857142858
3257,Public Attendance at Open Council Meetings,0.8188672552418094,0.02857142857142858
3258,Board of Appeals Work Session,0.8188672552418094,0.02857142857142858
3259,Maryland State Board of Elections and Board of Elections in other Maryland Counties,0.8188672552418094,0.02857142857142858
3260,"Commercial (Condos, Apartments, Offices, Businesses, Places of Worship, etc.) - Reconnection of Electrical Service by Power Company",0.8188672552418094,0.02857142857142858
3261,Department of Permitting Services Outreach and Public Education,0.8188672552418094,0.02857142857142858
3262,M-NCPPC Refund Request for Parks Course,0.8188672552418094,0.02857142857142858
3263,Call-n-Ride Obtaining a CNR Swipe Card,0.8188672552418094,0.02857142857142858
3264,AccessMCG (iRecruitment) - Length of Time Application is Valid,0.8188672552418094,0.02857142857142858
3265,Bethesda Chevy-Chase Regional Service Center (RSC) Directions,0.8188672552418094,0.02857142857142858
3266,Complaints About the Sale of Pets,0.8188672552418094,0.02857142857142858
3267,How to Obtain a Copy of an Executive Order,0.8188672552418094,0.02857142857142858
3268,DHCA Single Family Loan Repayment Process and Receipt of Checks,0.8188672552418094,0.02857142857142858
3269,Refinancing a Mortgage With a Single Family Loan,0.8188672552418094,0.02857142857142858
3270,Anonymous Complaints to the  Ethics Commission,0.8188672552418094,0.02857142857142858
3271,Documentation  Requirements for Child Care Subsidy Program,0.8188672552418094,0.02857142857142858
3272,Winter Storms,0.8188672552418094,0.02857142857142858
3273,Forms of Payment Accepted for Deposit into Inmate Account,0.8188672552418094,0.02857142857142858
3274,Application Requests for Ethics Commissioner,0.8188672552418094,0.02857142857142858
3275,Symptoms of Flu,0.8188672552418094,0.02857142857142858
3276,Green Business Certification Program,0.8188672552418094,0.02857142857142858
3277,Units Exempt from Rental Facility Licensing Requirements,0.8188672552418094,0.02857142857142858
3278,Call-n-Ride Automated Swipe Card System for Taxi Trips,0.8188672552418094,0.02857142857142858
3279,Position and Career Education System (PACE),0.8188672552418094,0.02857142857142858
3280,Alcohol License Fingerprinting,0.8188672552418094,0.02857142857142858
3281,Wheaton Urban District Maintenance Issues,0.8188672552418094,0.02857142857142858
3282,Status of CUPF Permit,0.8188672552418094,0.02857142857142858
3283,Tanning Facility License,0.8188672552418094,0.02857142857142858
3284,Kidnapping,0.8188672552418094,0.02857142857142858
3285,Call-n-Ride Recertification Status or Follow-up,0.8188672552418094,0.02857142857142858
3286,Gypsy Moths,0.8188672552418094,0.02857142857142858
3287,Ways to Improve Stream Quality in a Neighborhood,0.8188672552418094,0.02857142857142858
3288,Severe Storms,0.8188672552418094,0.02857142857142858
3289,Definition or Explanation of Procurement,0.8188672552418094,0.02857142857142858
3290,More Than One Voter Notification Card Received,0.8188672552418094,0.02857142857142858
3291,"Safety Information for Seniors, Disabled",0.8188672552418094,0.02857142857142858
3292,Time Required for Results or Response from the Correctional Officer Examination,0.8188672552418094,0.02857142857142858
3293,Commission for Women (CFW) Description and Mission,0.8188672552418094,0.02857142857142858
3294,Volunteer Opportunity with National Alliance on Mental Illness (NAMI),0.8188672552418094,0.02857142857142858
3295,Street Smart Safety Awareness Campaign,0.8188672552418094,0.02857142857142858
3296,Name Change Deadline for Voter Eligibility in Montgomery County,0.8188672552418094,0.02857142857142858
3297,Foster and/or Adoptive Parent Home Study,0.8190482497527143,0.10000000000000009
3298,Donating Unused Medication,0.8192914528904144,0.10000000000000009
3299,ABS Verification of County Employment,0.820487920718882,-0.09999999999999998
3300,Conditional Use/Special Exception Bill,0.8211027588296995,-0.6000000000000001
3301,Parental Leave Defined,0.8219854154233194,-0.05714285714285716
3302,Questions about Bugs Plants Flowers or Soil and Wildlife,0.8220554755072453,0.5857142857142872
3303,Electric Bill Complaint,0.8231453630311886,-0.11428571428571432
3304,Nutrient Management for Agriculture/Soil,0.8231453630311886,-0.05714285714285716
3305,Penalties Resulting From Late Payment of Tax Bills,0.8247518977705486,-0.24285714285714288
3306,Installing a Fence in a Storm Drain Easement,0.8249851353924682,0.07142857142857145
3307,Family and Medical Leave Defined,0.8249851353924682,0.07142857142857145
3308,Site Plan Requirement When Obtaining a Mechanical Permit,0.8249851353924684,-0.0714285714285714
3309,Obtain an Application to Purchase an MPDU,0.8249891218753495,-0.08571428571428574
3310,Rapid ReHousing,0.8256659723634627,0.12857142857142856
3311,Sick Leave Defined,0.8258881960909236,-0.0714285714285714
3312,Permit Parking Restriction Standard Hours,0.8258881960909236,-0.0714285714285714
3313,Request to Speak With a Moderately Priced Dwelling Unit (MPDU) Specialist,0.8273865841226826,1.442857142857136
3314,Retiree - Group Insurance Final Confirmation Statement Not Received,0.8276659055222442,-0.2571428571428571
3315,Emergency Medical Service (EMS) Transport Insurance Reimbursement,0.8301001990742056,-0.2285714285714282
3316,"Public Swimming Pool License, Management Registration, Pool Operating Permit or Certified Operator's License",0.8305651888889262,0.2571428571428571
3317,City of Gaithersburg Solid Waste and Recycling,0.830974907594494,-0.7857142857142847
3318,City of Gaithersburg Community Services,0.8324589769840666,0.1714285714285717
3319,Food Service Facility Licensing and Inspections,0.8327514325952474,-0.8999999999999986
3320,Account  Payment and Financial Inquiries for Rented Facilities,0.8335436770456222,-0.0714285714285714
3321,Montgomery County Property Tax Returned Check Letter,0.833699512057227,0.10000000000000009
3322,Status of Personal Property Tax Refund,0.8341808355440405,-0.2571428571428571
3323,Silver Spring United Methodist Church Assistance,0.8361098504423082,-0.05714285714285716
3324,"Call-n-Ride Swipe Card, Account and Program Information",0.8361098504423082,-0.05714285714285716
3325,Impact of Mortgage Refinancing to Property Tax Payment,0.8361098504423082,-0.05714285714285716
3326,Interest on Personal Property Tax Bills,0.836736102402524,0.1857142857142855
3327,Scheduling an Inspection with a Right of Way Inspector,0.8368653667145137,-0.1714285714285717
3328,Free Deck Maintenance Inspections,0.8385403073788719,-6.014285714285716
3329,M-NCPPC Encroachment Map,0.840808218962036,0.5571428571428569
3330,"Nursing Home, Domiciliary Care, Assisted Living Facility",0.840846427691819,0.10000000000000009
3331,Renew Monthly Parking Permit,0.8408553522506186,0.04285714285714287
3332,Property Tax Benefits for Active or Retired Military Veterans,0.8408553522506186,0.04285714285714287
3333,"Health, Dental and Prescription Discounts",0.8408553522506186,0.04285714285714287
3334,Tax Bill Received for Property No Longer Owned,0.8426122401845948,-2.571428571428573
3335,Application for a Home Health Practitioner Certificate,0.8429118988646612,0.0714285714285714
3336,Item or Keys Dropped in Storm Drain,0.843518952652385,-0.24285714285714333
3337,Recapture of Tax Credits,0.8440982387352405,0.5857142857142854
3338,Unidentified Montgomery County Government Payment,0.84431040382305,0.27142857142857046
3339,Town of Kensington,0.8448106893065559,-0.1428571428571428
3340,Reporting an Attack by an Animal,0.845887002042726,-0.08571428571428585
3341,Section 3 of the Village of Chevy Chase,0.8464997948840877,-0.05714285714285716
3342,Theft,0.8471878509515516,0.24285714285714288
3343,Direct Bill Retirees Incorrect Silverscript Payment Booklets,0.8483995153128099,0.07142857142857145
3344,Montgomery County Guide to Recreation and Park Programs Subscription,0.8483995153128099,0.07142857142857145
3345,Duration for Receiving Office of Home Energy Program (OHEP) Benefits,0.8483995153128099,0.07142857142857145
3346,Chevy Chase Village,0.8483995153128101,-0.0714285714285714
